timestamp,open,high,low,close,volume
1723447800,58340.99,58469.96,58270.2,58421.12,69.47497
1723447980,58421.11,58682.95,58416.38,58565.57,175.49834
1723448160,58565.57,58777.01,58535.64,58717.99,339.09316
1723448340,58718.0,58984.85,58668.12,58807.73,234.31741
1723448520,58807.74,58818.78,58643.31,58682.94,75.06186
1723448700,58682.94,58807.46,58625.24,58782.88,55.09318
1723448880,58782.88,58795.8,58583.08,58589.25,66.38275
1723449060,58589.25,58797.37,58589.24,58727.86,80.30479
1723449240,58727.86,58727.87,58581.7,58658.9,47.23032
1723449420,58658.91,58700.0,58647.48,58674.61,23.62655
1723449600,58674.62,58889.99,58674.61,58864.0,89.47575
1723449780,58864.0,58988.0,58782.75,58857.9,185.67279
1723449960,58857.89,59025.66,58835.21,58900.0,141.63227
1723450140,58900.0,58993.18,58879.03,58906.39,93.8065
1723450320,58906.38,58906.39,58781.82,58812.91,93.08682
1723450500,58812.91,58839.46,58743.37,58793.0,58.40058
1723450680,58792.99,58823.36,58719.05,58768.1,36.72254
1723450860,58768.09,58879.04,58768.09,58877.4,30.29083
1723451040,58877.4,58918.44,58812.51,58812.51,47.09138
1723451220,58812.52,58840.01,58728.38,58734.6,35.6237
1723451400,58734.6,58848.91,58717.56,58848.9,21.33625
1723451580,58848.9,58883.99,58832.08,58835.01,35.62127
1723451760,58835.01,58837.74,58700.03,58715.87,40.3668
1723451940,58715.87,58721.11,58622.11,58634.64,45.12765
1723452120,58634.65,58670.5,58613.3,58630.88,24.47541
1723452300,58631.99,58650.0,58600.0,58600.0,27.14865
1723452480,58600.0,58608.48,58542.0,58559.74,39.59142
1723452660,58559.75,58621.93,58531.01,58558.95,27.08203
1723452840,58558.94,58558.95,58324.87,58374.59,227.61545
1723453020,58374.59,58416.0,58240.51,58317.43,98.80588
1723453200,58317.43,58408.88,58309.75,58368.14,68.32348
1723453380,58368.13,58493.61,58347.94,58444.54,38.66354
1723453560,58444.54,58510.29,58415.0,58509.49,42.7861
1723453740,58509.49,58530.49,58366.81,58411.5,35.96427
1723453920,58411.5,58491.83,58366.81,58480.81,38.17053
1723454100,58480.81,58527.0,58416.06,58455.0,35.3932
1723454280,58455.0,58510.81,58440.17,58475.99,45.63019
1723454460,58476.0,58636.36,58476.0,58575.38,119.10788
1723454640,58575.39,58580.92,58432.11,58434.21,37.64105
1723454820,58434.21,58434.22,58175.37,58306.79,167.40634
1723455000,58306.79,58306.8,58168.26,58251.06,93.99756
1723455180,58251.06,58377.53,58221.26,58300.28,40.08335
1723455360,58300.28,58306.56,58163.01,58197.61,69.2112
1723455540,58197.61,58315.08,58169.29,58315.08,58.11268
1723455720,58315.07,58378.6,58300.85,58367.52,27.86303
1723455900,58367.52,58378.52,58260.44,58272.07,37.32596
1723456080,58272.07,58292.83,58243.52,58292.83,38.77904
1723456260,58292.83,58292.83,58200.0,58201.83,26.31106
1723456440,58201.84,58340.39,58201.84,58308.53,26.65607
1723456620,58308.54,58341.59,58291.05,58296.67,15.08292
1723456800,58296.68,58302.5,58212.57,58241.81,24.63849
1723456980,58241.82,58241.82,58155.0,58155.01,30.83214
1723457160,58155.01,58346.3,58125.75,58341.8,44.81109
1723457340,58341.79,58341.79,58270.61,58328.73,26.12628
1723457520,58328.74,58328.74,58170.0,58244.43,94.64352
1723457700,58244.44,58295.67,58214.8,58290.22,29.82119
1723457880,58290.21,58505.74,58252.0,58500.01,78.04197
1723458060,58500.01,58630.09,58500.0,58562.11,151.89039
1723458240,58562.11,58630.87,58547.99,58574.2,57.04377
1723458420,58574.2,58631.89,58536.47,58625.34,40.72703
1723458600,58625.33,58673.63,58541.75,58556.59,78.93904
1723458780,58556.59,58818.78,58556.59,58799.4,113.9319
1723458960,58799.4,58817.53,58700.0,58758.52,38.73057
1723459140,58758.52,58762.26,58668.12,58729.37,35.96817
1723459320,58729.37,58786.28,58710.0,58710.01,55.29502
1723459500,58710.0,58778.99,58710.0,58778.99,27.44499
1723459680,58778.98,58801.22,58732.54,58801.22,31.64751
1723459860,58801.22,58842.12,58788.64,58824.34,32.28548
1723460040,58824.35,58925.0,58822.32,58860.97,101.04733
1723460220,58860.98,58994.98,58848.3,58969.6,128.08305
1723460400,58969.6,59281.53,58881.01,59251.0,210.95459
1723460580,59251.0,59343.22,59070.36,59236.49,236.00047
1723460760,59236.48,59425.95,59137.1,59345.56,264.97005
1723460940,59345.56,59430.25,59260.75,59419.39,153.73783
1723461120,59419.39,59421.4,59309.99,59317.82,150.99957
1723461300,59317.82,59466.96,59317.27,59401.75,138.11545
1723461480,59401.76,59531.4,59361.13,59497.15,119.35914
1723461660,59497.15,59519.32,59312.74,59425.11,145.92984
1723461840,59425.12,59488.08,59372.81,59483.53,118.63788
1723462020,59483.52,59620.01,59446.93,59536.91,250.01673
1723462200,59536.91,59569.66,59454.37,59483.98,117.94081
1723462380,59483.98,59861.67,59477.88,59776.92,182.65208
1723462560,59776.93,59786.55,59640.71,59745.34,165.38136
1723462740,59745.32,59820.0,59725.54,59725.8,103.52255
1723462920,59725.8,59776.73,59589.26,59612.01,91.01055
1723463100,59612.01,59720.29,59612.01,59704.34,81.68407
1723463280,59704.34,59791.32,59704.34,59776.11,87.30204
1723463460,59776.11,59926.0,59776.1,59894.94,94.63354
1723463640,59894.93,59990.0,59892.95,59900.01,147.98017
1723463820,59900.0,59900.65,59813.92,59851.7,59.70461
1723464000,59851.71,59868.96,59712.65,59769.58,74.70623
1723464180,59769.59,59790.43,59692.56,59716.08,86.5777
1723464360,59716.07,59795.45,59705.11,59775.33,51.49771
1723464540,59775.34,59782.06,59714.13,59725.19,76.33169
1723464720,59725.18,59753.01,59657.85,59657.85,34.20636
1723464900,59657.86,59748.82,59645.06,59674.93,53.60818
1723465080,59674.94,59674.94,59537.21,59556.03,70.13007
1723465260,59556.03,59599.11,59551.54,59554.98,45.53485
1723465440,59554.98,59705.27,59551.54,59677.3,60.43376
1723465620,59677.31,59781.9,59673.23,59771.36,48.15032
1723465800,59771.36,59886.85,59754.4,59884.14,63.40663
1723465980,59884.13,59942.69,59658.37,59714.96,260.35624
1723466160,59714.96,59714.96,59592.19,59625.66,46.4576
1723466340,59625.67,59638.25,59551.56,59599.54,28.54431
1723466520,59599.54,59623.28,59518.26,59540.0,33.33288
1723466700,59540.01,59588.67,59539.41,59565.67,26.51528
1723466880,59565.67,59672.41,59565.66,59655.14,43.83295
1723467060,59655.13,59711.89,59574.98,59585.32,57.25005
1723467240,59585.33,59659.78,59558.2,59628.34,26.03772
1723467420,59628.34,59731.98,59628.34,59728.23,59.63791
1723467600,59728.24,59759.34,59668.44,59709.21,43.65705
1723467780,59709.2,59727.97,59624.58,59720.45,60.12939
1723467960,59720.44,59761.69,59683.51,59747.46,34.11166
1723468140,59747.47,59876.9,59747.46,59806.48,40.85019
1723468320,59806.47,59806.52,59704.33,59710.01,40.18612
1723468500,59710.02,59712.43,59589.73,59591.15,29.13275
1723468680,59591.14,59624.01,59585.95,59610.11,42.65001
1723468860,59610.12,59610.12,59534.6,59562.9,40.1663
1723469040,59562.91,59613.68,59562.91,59588.77,16.16226
1723469220,59588.77,59588.77,59478.0,59534.44,43.19653
1723469400,59534.44,59576.98,59487.46,59524.99,54.23565
1723469580,59524.98,59681.64,59434.38,59579.89,74.08096
1723469760,59579.89,59586.42,59248.51,59264.4,137.8727
1723469940,59264.4,59291.99,58906.71,58908.85,358.28982
1723470120,58908.84,59012.26,58733.7,58810.46,389.50118
1723470300,58810.46,58893.79,58540.97,58630.79,286.33977
1723470480,58630.79,58630.8,58295.0,58486.95,391.07596
1723470660,58486.94,58618.29,58322.07,58425.0,209.74575
1723470840,58424.99,58450.0,58176.5,58186.04,284.46147
1723471020,58186.04,58246.99,58000.0,58157.55,252.77155
1723471200,58157.55,58193.29,57800.0,58112.04,336.10533
1723471380,58112.05,58276.43,58064.82,58264.68,271.91077
1723471560,58264.68,58584.77,58255.4,58521.08,216.3742
1723471740,58521.07,58796.47,58476.22,58647.75,205.49388
1723471920,58647.75,59499.99,58647.74,59340.94,604.29885
1723472100,59340.94,59505.52,59106.44,59132.48,278.71063
1723472280,59132.48,59333.25,59083.97,59225.18,132.46058
1723472460,59225.19,59600.0,59225.18,59550.0,270.53175
1723472640,59550.01,59782.97,59533.39,59750.01,203.9666
1723472820,59750.02,59759.06,59476.42,59588.94,263.16506
1723473000,59588.95,59772.52,59394.19,59688.0,155.85816
1723473180,59688.0,59927.0,59672.16,59826.32,331.85534
1723473360,59826.32,60499.0,59826.32,60283.97,594.76643
1723473540,60283.96,60711.09,60264.0,60413.04,362.55089
1723473720,60413.04,60415.72,60156.06,60230.15,167.90112
1723473900,60229.22,60418.34,60196.07,60213.85,184.85792
